Population,Decimal Latitude,Decimal Longitude,Locality
Panama,9.123497,-79.714767,Pipeline Road- Gamboa
FG,4.030764,-52.682586,Saut Parare- Nouragues
VE,7.703347,-72.225409,Balneario Rio Negro Estado Tachira (Little Stream via Media Libra)
Colombia,1.747683,-75.62855,Paraiso- Florencia- 1km de Carano
Ecuador,-1.187817,-77.83105,El Capricho Km 5.7
AltoMayo,-5.65427,-77.69368,Afluente- Alto Mayo- San Martin
Moyobamba,-6.08715,-76.98433,Moyobamba- Wakanki
Urahuasha,-6.459867,-76.335158,Urahuasha- Tarapoto
Tunel,-6.289183,-76.228436,Pongo-Barranquita km 7.5
Michaela,-5.974817,-76.230933,Micaela bastida Yurimaguas-Tarapoto Km24
LaMerced,-11.03377,-75.40913,Pampa hermosa- La Merced
PuertoBermudez,-10.37645,-74.97403,Puerto Bermudez - GPS 366
MadreDios,-12.5685634,-70.0991564,Los Amigos- madre de Dios
Brazil,-23.252201,-44.610332,Mata Atlantica- Praia do Engenho
